@relation 'test_data_set (1)'

@attribute year numeric
@attribute session {Maha, Yala}
@attribute urea(kg) numeric
@attribute TSP(kg) numeric
@attribute MOP(kg) numeric
@attribute 'Zink sulphate(kg)' numeric
@attribute seed {AT362,AT354,AT352,AT350,AT450,AT373,AT459}
@attribute soil {normal,lawana,waguru}
@attribute harvest(kg) numeric
@attribute area {Tissamaharama,Hambantota,Suriyawewa,Agunukolapalassa,Ambalantota,Lunama,Tangalle,Weerakatiya,Beliatta,Lunugamwehera}
@attribute district {Hambantota}
@attribute rainfall(mm) numeric
@attribute irrigated/rainfed {irrigated,rainfed}
@attribute 'organic matter(tons)' numeric

@data
2010,Yala,90,45,45,4.2,AT459,lawana,90,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,95,45,35,4.8,AT459,lawana,94,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,90,45,34,4.9,AT373,lawana,72,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,85,29,29,4,AT373,lawana,79,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,80,30,45,5.2,AT354,lawana,80,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,97,35,27,5.2,AT362,lawana,95,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,55,35,45,2.9,AT354,lawana,72,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,65,45,35,5.86,AT354,lawana,88,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,97,40,38,5.5,AT362,lawana,72,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,75,45,40,5.2,AT373,lawana,95,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,70,35,40,5.1,AT459,lawana,92,Tissamaharama,Hambantota,400,irrigated,2.7
2010,Yala,50,32,35,5,AT459,lawana,90,Tissamaharama,Hambantota,400,irrigated,2.7
